,회사이름,회사코드,옥수치17/12,옥수치18/12,옥수치19/12,옥수치20/09,업종
130,브랜드엑스코퍼레이션,337930,,102.27272727272728,44.79638009049774,16.013071895424837,기타 정보 서비스업
131,삼보판지,23600,1.6849015317286653,11.522375575073195,9.47346600331675,5.954018471212419,"펄프, 종이 및 판지 제조업"
132,삼본전자,111870,12.420382165605098,2.622950819672131,-9.386281588447654,-19.45945945945946,영상 및 음향기기 제조업
133,삼아제약,9300,8.983451536643026,11.150652431791222,11.659192825112108,3.4229828850855744,의약품 제조업
134,상지카일룸,42940,-18.695652173913047,1.8036072144288575,4.225352112676056,-7.446808510638298,건물 건설업
135,서암기계공업,100660,7.098765432098764,9.597523219814242,4.322766570605188,0.6211180124223602,일반 목적용 기계 제조업
136,성창오토텍,80470,1.0752688172043012,0.20811654526534865,-0.4004004004004004,-0.6145741878841089,자동차 신품 부품 제조업
137,세보엠이씨,11560,12.927587738782766,12.980992118683355,-3.3147113594040967,2.5155065472088216,건물설비 설치 공사업
138,세종메디칼,258830,33.5483870967742,17.877094972067038,15.384615384615385,0.0,의료용 기기 제조업
139,세종텔레콤,36630,1.4276846679081316,-0.05065856129685917,-3.766333589546503,0.5691056910569106,전기 통신업
140,세코닉스,53450,0.482509047044632,2.202412165705296,0.32135553607946243,-4.041507373020208,사진장비 및 광학기기 제조업
141,셀루메드,49180,-0.35842293906810035,-33.746130030959755,-27.2108843537415,3.333333333333333,기초 의약물질 및 생물학적 제제 제조업
142,셀바스헬스케어,208370,0.3937007874015748,-33.75959079283887,-10.08902077151335,2.3648648648648654,의료용 기기 제조업
143,셀트리온제약,68760,1.8802679922195809,0.8150328277111162,3.2279314888010537,3.1866162119099783,의약품 제조업
144,소리바다,53110,-7.490636704119852,-10.902255639097744,-25.86206896551724,-23.64864864864865,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
145,스튜디오산타클로스,204630,-4.6082949308755765,-3.886925795053004,-21.446384039900252,-5.371900826446281,창작 및 예술관련 서비스업
146,스페코,13810,2.687140115163148,-5.737704918032787,13.692946058091287,19.13477537437604,특수 목적용 기계 제조업
147,승일,49830,2.518720217835262,1.5942028985507246,-0.9742519137091163,0.7299270072992701,기타 금속 가공제품 제조업
148,시스웍,269620,43.42105263157895,30.17751479289941,4.729729729729731,6.666666666666668,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
149,심텍,222800,4.735219949565705,3.937611863973409,-2.1668078925069603,9.29137760158573,전자부품 제조업
150,쌍용정보통신,10280,-18.435754189944134,13.333333333333336,2.8571428571428568,1.1111111111111112,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
151,씨유메디칼,115480,-2.844638949671773,4.368358913813459,2.4606299212598426,-1.1648745519713262,의료용 기기 제조업
152,씨케이에이치,900120,-41.35135135135136,-51.62889518413599,-44.985465116279066,0.36855036855036855,기타 금융업
153,아나패스,123860,18.315018315018314,-24.691358024691358,-46.1839530332681,-31.592039800995025,반도체 제조업
154,아바텍,149950,27.845884413309985,10.707456978967496,7.417582417582418,4.701397712833545,전자부품 제조업
155,아이센스,99190,11.66837256908905,12.80972417017298,14.53320500481232,11.588785046728974,의료용 기기 제조업
156,아이씨디,40910,16.94214876033058,22.253363228699552,7.84421283598464,23.760523854069227,특수 목적용 기계 제조업
157,아이씨케이,68940,-35.960591133004925,-13.294797687861273,-1.058201058201058,-15.93406593406593,전자부품 제조업
158,아이오케이,78860,-0.41152263374485604,-20.50359712230216,1.2170385395537524,-2.985074626865672,"영화, 비디오물, 방송프로그램 제작 및 배급업"
