,회사코드,회사이름,corr
194,036930,주성엔지니어링,-0.5075191568849513
195,119850,지엔씨에너지,-0.6109414371796638
196,065060,지엔코,-0.5640983352581547
197,071850,캐스텍코리아,0.19015653171892263
198,042040,케이피엠테크,0.36864440479063654
199,078650,코렌,-0.014405823786175411
200,126600,코프라,0.9593866912377913
201,043590,크로바하이텍,
202,139670,키네마스터,0.9123456463965602
203,246710,티앤알바이오팹,0.4657066548184037
204,131290,티에스이,0.1577814208112319
205,033540,파라텍,0.49015335652605596
206,037070,파세코,0.9151303076678949
207,065690,파커스,-0.38490518743151836
208,225590,패션플랫폼,0.9138572729047575
209,005670,푸드웰,0.8222291250036449
210,203690,프로스테믹스,-0.7111306515915967
211,032580,피델릭스,0.34074383970721267
212,221840,하이즈항공,0.9506494908908655
213,222980,한국맥널티,0.7216462342260184
214,050540,한국코퍼레이션,-0.4736878367569984
215,078350,한양디지텍,-0.25585213178354493
216,123840,한일진공,0.18649983095751332
217,048410,현대바이오,0.6188924305849068
218,039610,화성밸브,0.9798251432402686
219,115160,휴맥스,-0.9426768636619923
220,250030,진코스텍,0.4704621662512781
221,079160,CJ CGV,0.982164225590995
222,097950,CJ제일제당,0.8591305228286769
223,089470,HDC현대EP,-0.3188875708561127
224,096760,JW홀딩스,-0.9179809402455651
225,105560,KB금융,-0.9790031747185304
226,119650,KC코트렐,0.8971521595683615
227,001380,SG충방,0.3347277445197483
228,014280,금강공업,-0.397919584466109
229,002990,금호산업,-0.657117529151144
230,001210,금호전기,-0.7565583089299504
231,024110,기업은행,-0.014906723605413978
232,004270,남성,-0.7592425602211379
233,251270,넷마블,0.5916064577106271
234,006370,대구백화점,-0.6453143634514138
235,047040,대우건설,-0.5328570140458188
236,003220,대원제약,-0.8797443984661533
237,001070,대한방직,0.4604695701524128
238,001790,대한제당,0.7201548648800086
239,005880,대한해운,-0.9836986675064304
240,024900,덕양산업,0.6849415348734823
241,018500,동원금속,0.908682726044082
242,042670,두산인프라코어,0.31709673714350833
243,024090,디씨엠,0.2286751590844741
244,007340,디티알오토모티브,-0.1094584630641143
245,000400,롯데손해보험,-0.970980778132295
246,280360,롯데제과,-0.9602965860939272
247,005300,롯데칠성음료,-0.9270186772070873
248,011170,롯데케미칼,0.2020594514600893
249,071840,롯데하이마트,0.07449653973593139
250,107590,미원홀딩스,0.6397621343528066
251,035150,백산,0.3375795957904324
252,003960,사조대림,-0.05235016332638167
253,008040,사조동아원,-0.8212884193289802
254,003230,삼양식품,0.23191485162949094
255,136490,선진,-0.5061274883667808
256,011300,성안,0.6743690129306128
257,004360,세방,-0.7763785411070938
258,058650,세아홀딩스,-0.5483194736224412
259,067830,세이브존I&C,0.5831667376641788
260,006880,신송홀딩스,0.3890646967987758
261,002700,신일전자,0.9577239639690951
262,019170,신풍제약,0.15717106086190658
263,004770,써니전자,-0.19674138483733994
264,122900,아이마켓코리아,0.8416596524721444
265,003560,아이에이치큐,0.09814146528116646
266,078520,에이블씨엔씨,0.6691431303187483
267,036570,엔씨소프트,0.6371808997608757
268,014440,영보화학,0.9716160381070026
269,003520,영진약품,-0.7127600283365078
270,000670,영풍,-0.5166356652744563
271,047400,유니온머티리얼,-0.5113567848057753
272,000220,유유제약,-0.6858002657129368
273,000100,유한양행,0.48727504331468846
274,139480,이마트,0.44881485540143995
275,005950,이수화학,-0.2991104607538927
276,034590,인천도시가스,0.9207659226668456
277,008500,일정실업,-0.8818975349966437
278,001630,종근당홀딩스,0.38658630943028693
279,013870,지엠비코리아,0.2210585627770757
280,011000,진원생명과학,-0.5772654449327567
281,109070,컨버즈,0.5991316734605202
282,281820,케이씨텍,-0.9059420893491539
283,007810,코리아써키트,0.08308044056321971
284,005420,코스모화학,0.7814837823223432
285,071950,코아스,0.7259209631123298
286,138490,코오롱플라스틱,0.32935110116724037
287,192400,쿠쿠홀딩스,-0.9516741304577886
288,015590,큐로,0.7391124633697371
289,084870,티비에이치글로벌,0.43824311875563093
290,003670,포스코케미칼,-0.04840826782082703
291,033180,필룩스,-0.5315080941660797
